"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"307","Goran Dragic","Chi","G","36.9","50","15.6","20.9","15.6","41","0.659","170","0.482","128","0.352","0.502","0.516","6.5","1.4","2.8","0.2","0.1","1.1","7.9","9.3","10.7","7.5","104.1","110.5"
"308","Jock Landale","Pho","C","27.4","61","13.9","19.3","15.6","99","0.778","206","0.631","80","0.238","0.554","0.598","6.5","4","0.9","0.2","0.5","0.9","10.5","7.4","11.4","8.2","119.6","102.7"
"309","Isaac Okoro","Cle","F-G","22.1","72","21.8","12.1","10.5","101","0.752","176","0.619","164","0.36","0.581","0.613","6.5","2.5","1.2","0.8","0.4","0.6","9","7.7","10.2","4.9","123.7","104.7"
"310","Duncan Robinson","Mia","F","28.9","34","16.9","17.6","9.6","25","0.92","38","0.526","159","0.333","0.505","0.534","6.5","1.8","1.1","0.4","0","0.6","8.3","7.7","9.5","5.5","106.6","105.3"
"311","Patrick Beverley","Lal","G","34.7","45","26.9","10.6","14.8","50","0.78","83","0.506","158","0.348","0.517","0.548","6.4","3.1","2.6","0.9","0.6","0.9","9.5","9","12.1","5.5","112.2","107"
"312","Kendrick Nunn","Was","G","27.6","19","14.4","20.8","16.6","10","0.9","56","0.518","49","0.367","0.533","0.553","6.4","1.7","1.8","0.5","0","1.1","8.1","8.2","9.8","7.5","104.8","113.2"
"313","Nickeil Alexander-Walker","Uta","G","24.5","36","14.7","18.4","20.9","39","0.692","83","0.578","87","0.402","0.591","0.609","6.3","1.6","2.1","0.7","0.4","1.3","8","8.4","10.1","7.5","111.6","108.3"
"314","Reggie Jackson","Den","G","32.9","9","20.1","19.3","11.6","8","0.75","31","0.29","37","0.297","0.375","0.398","6.3","1.4","3.2","0.6","0.1","1","7.8","9.6","11","6.1","93","113.1"
"315","Isaiah Livers","Det","F","24.6","46","22.4","11.8","9.5","30","0.767","69","0.551","179","0.352","0.534","0.551","6.3","2.5","0.7","0.6","0.5","0.6","8.8","7","9.5","4","109.8","113.9"
"316","Xavier Tillman","Mem","F","24.2","49","17.7","13.6","12.5","73","0.534","208","0.62","15","0.267","0.605","0.606","6.3","4.7","1.4","0.9","0.4","0.7","11","7.7","12.4","7.8","127.5","103.8"
"317","Obi Toppin","Nyk","F","25","56","14.4","19","8.8","37","0.784","126","0.548","186","0.328","0.514","0.533","6.3","2.8","0.8","0.3","0.2","0.5","9.1","7","9.9","6.7","110.2","109.3"
"318","Nassir Little","Por","F-G","23.1","48","17.3","14.9","9.7","37","0.676","111","0.532","131","0.397","0.566","0.579","6.2","2.6","1","0.3","0.4","0.5","8.9","7.2","9.9","5.8","115.2","114.7"
"319","Mike Muscala","Okc","F-C","31.7","43","14.5","15.7","6.4","39","0.795","61","0.541","142","0.394","0.576","0.602","6.2","3.1","0.9","0.3","0.4","0.3","9.3","7","10.2","7.1","124.9","105.1"
"320","Dru Smith","Bro","G","25.2","5","11.3","20.7","3.8","1","1","13","0.692","12","0.333","0.6","0.609","6.2","1.8","2","1","0.2","0.2","8","8.2","10","10","130.4","105.6"
"321","Yuta Watanabe","Bro","G-F","28.4","47","17.5","13","8.5","41","0.756","88","0.568","115","0.461","0.638","0.656","6.2","2.6","0.9","0.4","0.3","0.4","8.7","7","9.6","5.6","128.2","110.6"
"322","Trendon Watford","Por","F","22.3","52","18.1","14.6","20.5","73","0.712","179","0.592","46","0.413","0.598","0.624","6.2","3.7","1.9","0.5","0.1","1.1","9.8","8.1","11.8","7.8","117.3","108.8"
